Uniprot: Q80ZN4, Affymetrix: 1431619_a_at, GeneID: DTNBP1
Uniprot: Q8C113, Affymetrix: 1457460_at, GeneID: ACSS2
Uniprot: Q8BY91, Affymetrix: 1457460_at, GeneID: ACSS2
Uniprot: Q8C1A8, Affymetrix: 1457460_at, GeneID: ACSS2
Uniprot: Q8C141, Affymetrix: 1457460_at, GeneID: ACSS2
Uniprot: Q8BK97, Affymetrix: 1457460_at, GeneID: ACSS2
Uniprot: Q8N9U3, Affymetrix: 1457460_at, GeneID: ACSS2
Uniprot: Q8BVW1, Affymetrix: 1428931_a_at, GeneID: PARP6
Uniprot: Q6P6P7, Affymetrix: 1428931_a_at, GeneID: PARP6
Uniprot: Q05BZ2, Affymetrix: 1428931_a_at, GeneID: PARP6
Uniprot: Q8K0V6, Affymetrix: 1428931_a_at, GeneID: PARP6
Uniprot: Q80ZX4, Affymetrix: 1441604_at, GeneID: ESD
Uniprot: Q9R0P3, Affymetrix: 1441604_at, GeneID: ESD
Uniprot: Q9CWI4, Affymetrix: 1441604_at, GeneID: ESD
Uniprot: Q8CDH5, Affymetrix: 1453100_at, GeneID: CSNK2A2
Uniprot: Q8BPF9, Affymetrix: 1453100_at, GeneID: CSNK2A2
Uniprot: Q8CEL6, Affymetrix: 1453100_at, GeneID: CSNK2A2
Uniprot: O54833, Affymetrix: 1453100_at, GeneID: CSNK2A2
Uniprot: Q545V8, Affymetrix: 1453100_at, GeneID: CSNK2A2
Uniprot: Q3UKU3, Affymetrix: 1422498_at, GeneID: MAGEH1
Uniprot: Q9NWG9, Affymetrix: 1422498_at, GeneID: MAGEH1
Uniprot: Q99PB0, Affymetrix: 1422498_at, GeneID: MAGEH1
Uniprot: Q3UKF9, Affymetrix: 1424134_at, GeneID: RSPRY1
Uniprot: Q8BMH0, Affymetrix: 1424134_at, GeneID: RSPRY1
Uniprot: Q8BVR6, Affymetrix: 1424134_at, GeneID: RSPRY1
Uniprot: Q3T9F1, Affymetrix: 1424134_at, GeneID: RSPRY1
Uniprot: Q3UYN5, Affymetrix: 1424134_at, GeneID: RSPRY1
Uniprot: Q3TM35, Affymetrix: 1424134_at, GeneID: RSPRY1
Uniprot: Q3T9K3, Affymetrix: 1424134_at, GeneID: RSPRY1
Uniprot: Q8C039, Affymetrix: 1424134_at, GeneID: RSPRY1
Uniprot: Q9CZ54, Affymetrix: 1424134_at, GeneID: RSPRY1
Uniprot: Q3U802, Affymetrix: 1424134_at, GeneID: RSPRY1
Uniprot: B9EJX9, Affymetrix: 1449280_at, GeneID: ESM1
Uniprot: Q8VE00, Affymetrix: 1449280_at, GeneID: ESM1
Uniprot: Q9QYY7, Affymetrix: 1449280_at, GeneID: ESM1
Uniprot: Q91VF4, Affymetrix: 1449280_at, GeneID: ESM1
Uniprot: Q9JJL3, Affymetrix: 1452494_s_at, GeneID: SLCO1B2
Uniprot: Q9JI79, Affymetrix: 1452494_s_at, GeneID: SLCO1B2
Uniprot: Q9JJJ1, Affymetrix: 1452494_s_at, GeneID: SLCO1B2
Uniprot: Q9JJX4, Affymetrix: 1452527_a_at, GeneID: P2RX4
Uniprot: Q9JJX5, Affymetrix: 1452527_a_at, GeneID: P2RX4
Uniprot: Q9JJX6, Affymetrix: 1452527_a_at, GeneID: P2RX4
Uniprot: Q9JJX3, Affymetrix: 1452527_a_at, GeneID: P2RX4
Uniprot: Q9Z256, Affymetrix: 1452527_a_at, GeneID: P2RX4
Uniprot: Q9Z257, Affymetrix: 1452527_a_at, GeneID: P2RX4
Uniprot: Q3UCX4, Affymetrix: 1452527_a_at, GeneID: P2RX4
Uniprot: Q3TR36, Affymetrix: 1452527_a_at, GeneID: P2RX4
Uniprot: Q9WUN9, Affymetrix: 1452527_a_at, GeneID: P2RX4
Uniprot: Q7TMH1, Affymetrix: 1429219_at, GeneID: IKBIP
Uniprot: Q9DBZ1, Affymetrix: 1429219_at, GeneID: IKBIP
Uniprot: Q9DA09, Affymetrix: 1429219_at, GeneID: IKBIP
Uniprot: Q8K1Z4, Affymetrix: 1429219_at, GeneID: IKBIP
Uniprot: Q545E6, Affymetrix: 1448515_at, GeneID: TSN
Uniprot: Q62348, Affymetrix: 1448515_at, GeneID: TSN
Uniprot: Q8CAZ1, Affymetrix: 1459259_at, GeneID: GM5084
Uniprot: Q3UXL8, Affymetrix: 1458291_at, GeneID: INHBA
Uniprot: Q04998, Affymetrix: 1458291_at, GeneID: INHBA
Uniprot: Q3UY39, Affymetrix: 1458291_at, GeneID: INHBA
Uniprot: Q4FJM4, Affymetrix: 1458291_at, GeneID: INHBA
Uniprot: Q9JJQ1, Affymetrix: 1458291_at, GeneID: INHBA
Uniprot: Q59J91, Affymetrix: 1458289_at, GeneID: GALNTL4
Uniprot: Q8K1B9, Affymetrix: 1458289_at, GeneID: GALNTL4
Uniprot: B2KGE4, Affymetrix: 1432397_at, GeneID: TSSK3
Uniprot: Q9D2E1, Affymetrix: 1432397_at, GeneID: TSSK3
Uniprot: Q9JL98, Affymetrix: 1432397_at, GeneID: TSSK3
Uniprot: Q8BYG3, Affymetrix: 1438474_at, GeneID: ANKRD35
Uniprot: A6H648, Affymetrix: 1438474_at, GeneID: ANKRD35
Uniprot: A0AUN3, Affymetrix: 1425678_a_at, GeneID: SNRK
Uniprot: Q8VDU5, Affymetrix: 1425678_a_at, GeneID: SNRK
Uniprot: B9EK90, Affymetrix: 1425678_a_at, GeneID: SNRK
Uniprot: Q91WX6, Affymetrix: 1425678_a_at, GeneID: SNRK
Uniprot: Q8K2M2, Affymetrix: 1425335_at, GeneID: CD8A
Uniprot: P01731, Affymetrix: 1425335_at, GeneID: CD8A
Uniprot: Q8C2Q0, Affymetrix: 1425335_at, GeneID: CD8A
Uniprot: Q542K6, Affymetrix: 1425335_at, GeneID: CD8A
Uniprot: Q8CAX3, Affymetrix: 1425335_at, GeneID: CD8A
Uniprot: Q8C2L1, Affymetrix: 1425335_at, GeneID: CD8A
Uniprot: Q60965, Affymetrix: 1425335_at, GeneID: CD8A
Uniprot: Q61816, Affymetrix: 1425335_at, GeneID: CD8A
Uniprot: Q3UUV7, Affymetrix: 1425335_at, GeneID: CD8A
Uniprot: Q9WV07, Affymetrix: 1449237_at, GeneID: ALOXE3
Uniprot: Q14B96, Affymetrix: 1449237_at, GeneID: ALOXE3
Uniprot: B1ASX3, Affymetrix: 1449237_at, GeneID: ALOXE3
Uniprot: Q8R0B7, Affymetrix: 1432103_a_at, GeneID: SH3GL3
Uniprot: Q497N4, Affymetrix: 1432103_a_at, GeneID: SH3GL3
Uniprot: Q62421, Affymetrix: 1432103_a_at, GeneID: SH3GL3
Uniprot: Q9CZV7, Affymetrix: 1432103_a_at, GeneID: SH3GL3
Uniprot: Q925K7, Affymetrix: 1439645_at, GeneID: ADRA2B
Uniprot: Q925K6, Affymetrix: 1439645_at, GeneID: ADRA2B
Uniprot: P30545, Affymetrix: 1439645_at, GeneID: ADRA2B
Uniprot: Q8VIG5, Affymetrix: 1459607_at, GeneID: TTC33
Uniprot: Q9D6K7, Affymetrix: 1459607_at, GeneID: TTC33
Uniprot: Q9QUG9, Affymetrix: 1449613_at, GeneID: RASGRP2
Uniprot: Q80WC0, Affymetrix: 1449613_at, GeneID: RASGRP2
Uniprot: Q8BSC8, Affymetrix: 1449613_at, GeneID: RASGRP2
Uniprot: O09004, Affymetrix: 1449613_at, GeneID: RASGRP2
Uniprot: Q9CPU6, Affymetrix: 1449562_at, GeneID: 1700001G17RIK
Uniprot: Q8K381, Affymetrix: 1454389_at, GeneID: LRCH4
Uniprot: Q8C2M4, Affymetrix: 1454389_at, GeneID: LRCH4
Uniprot: Q921G6, Affymetrix: 1454389_at, GeneID: LRCH4
Uniprot: Q6KAP0, Affymetrix: 1454389_at, GeneID: LRCH4
Uniprot: Q8VHB2, Affymetrix: 1435068_at, GeneID: PIP4K2B
Uniprot: Q80XI4, Affymetrix: 1435068_at, GeneID: PIP4K2B
Uniprot: Q3UJ95, Affymetrix: 1435068_at, GeneID: PIP4K2B
Uniprot: Q91XU2, Affymetrix: 1435068_at, GeneID: PIP4K2B
Uniprot: Q9JLJ0, Affymetrix: 1416304_at, GeneID: LITAF
Uniprot: Q9EQI0, Affymetrix: 1416304_at, GeneID: LITAF
Uniprot: Q6ZQK2, Affymetrix: 1417380_at, GeneID: IQGAP1
Uniprot: Q3TR56, Affymetrix: 1417380_at, GeneID: IQGAP1
Uniprot: Q8CGH5, Affymetrix: 1417380_at, GeneID: IQGAP1
Uniprot: Q9JKF1, Affymetrix: 1417380_at, GeneID: IQGAP1
Uniprot: Q8CC64, Affymetrix: 1417380_at, GeneID: IQGAP1
Uniprot: Q05CQ4, Affymetrix: 1417380_at, GeneID: IQGAP1
Uniprot: Q9D408, Affymetrix: 1417380_at, GeneID: IQGAP1
Uniprot: Q80UW7, Affymetrix: 1417380_at, GeneID: IQGAP1
Uniprot: Q8CDT3, Affymetrix: 1417380_at, GeneID: IQGAP1
Uniprot: Q3TPD2, Affymetrix: 1417380_at, GeneID: IQGAP1
Uniprot: Q3TU98, Affymetrix: 1417380_at, GeneID: IQGAP1
Uniprot: Q8CDW9, Affymetrix: 1417380_at, GeneID: IQGAP1
Uniprot: Q8BPA6, Affymetrix: 1417380_at, GeneID: IQGAP1
Uniprot: Q99NE4, Affymetrix: 1453128_at, GeneID: LYVE1
Uniprot: Q3TUC1, Affymetrix: 1453128_at, GeneID: LYVE1
Uniprot: Q8BHC0, Affymetrix: 1453128_at, GeneID: LYVE1
Uniprot: Q8K2M2, Affymetrix: 1440164_x_at, GeneID: CD8A
Uniprot: P01731, Affymetrix: 1440164_x_at, GeneID: CD8A
Uniprot: Q8C2Q0, Affymetrix: 1440164_x_at, GeneID: CD8A
Uniprot: Q542K6, Affymetrix: 1440164_x_at, GeneID: CD8A
Uniprot: Q8CAX3, Affymetrix: 1440164_x_at, GeneID: CD8A
Uniprot: Q8C2L1, Affymetrix: 1440164_x_at, GeneID: CD8A
Uniprot: Q60965, Affymetrix: 1440164_x_at, GeneID: CD8A
Uniprot: Q61816, Affymetrix: 1440164_x_at, GeneID: CD8A
Uniprot: Q3UUV7, Affymetrix: 1440164_x_at, GeneID: CD8A
Uniprot: Q9QUG9, Affymetrix: 1438932_at, GeneID: RASGRP2
Uniprot: Q80WC0, Affymetrix: 1438932_at, GeneID: RASGRP2
Uniprot: Q8BSC8, Affymetrix: 1438932_at, GeneID: RASGRP2
Uniprot: O09004, Affymetrix: 1438932_at, GeneID: RASGRP2
Uniprot: Q8BVZ3, Affymetrix: 1437055_x_at, GeneID: MFSD1
Uniprot: Q3TAG9, Affymetrix: 1437055_x_at, GeneID: MFSD1
Uniprot: Q3UWU0, Affymetrix: 1437055_x_at, GeneID: MFSD1
Uniprot: Q9DC37, Affymetrix: 1437055_x_at, GeneID: MFSD1
Uniprot: Q8BXL2, Affymetrix: 1429442_at, GeneID: RPUSD2
Uniprot: Q8BY63, Affymetrix: 1429442_at, GeneID: RPUSD2
Uniprot: Q149F1, Affymetrix: 1429442_at, GeneID: RPUSD2
Uniprot: Q69ZP6, Affymetrix: 1448624_at, GeneID: CD2BP2
Uniprot: Q3TJX5, Affymetrix: 1448624_at, GeneID: CD2BP2
Uniprot: Q9CWK3, Affymetrix: 1448624_at, GeneID: CD2BP2
Uniprot: Q3U4A3, Affymetrix: 1448624_at, GeneID: CD2BP2
Uniprot: Q925K7, Affymetrix: 1450003_at, GeneID: ADRA2B
Uniprot: Q925K6, Affymetrix: 1450003_at, GeneID: ADRA2B
Uniprot: P30545, Affymetrix: 1450003_at, GeneID: ADRA2B
Uniprot: Q5ICG5, Affymetrix: 1451257_at, GeneID: ACSL6
Uniprot: Q5ICG6, Affymetrix: 1451257_at, GeneID: ACSL6
Uniprot: Q8R1X1, Affymetrix: 1451257_at, GeneID: ACSL6
Uniprot: Q8BYJ0, Affymetrix: 1451257_at, GeneID: ACSL6
Uniprot: Q5ICG4, Affymetrix: 1451257_at, GeneID: ACSL6
Uniprot: Q91WC3, Affymetrix: 1451257_at, GeneID: ACSL6
Uniprot: Q8C028, Affymetrix: 1451257_at, GeneID: ACSL6
Uniprot: A8IP90, Affymetrix: 1451257_at, GeneID: ACSL6
Uniprot: Q80ZF1, Affymetrix: 1451257_at, GeneID: ACSL6
Uniprot: Q5F2D0, Affymetrix: 1451257_at, GeneID: ACSL6
Uniprot: A6PW74, Affymetrix: 1451257_at, GeneID: ACSL6
Uniprot: Q80TQ7, Affymetrix: 1451257_at, GeneID: ACSL6
Uniprot: O70311, Affymetrix: 1423581_at, GeneID: NMT2
Uniprot: A2AJH3, Affymetrix: 1423581_at, GeneID: NMT2
Uniprot: Q8CFK1, Affymetrix: 1423581_at, GeneID: NMT2
Uniprot: Q3THR4, Affymetrix: 1423581_at, GeneID: NMT2
Uniprot: Q3U882, Affymetrix: 1458875_at, GeneID: SEC24B
Uniprot: Q3UDH4, Affymetrix: 1458875_at, GeneID: SEC24B
Uniprot: Q6PFZ1, Affymetrix: 1458875_at, GeneID: SEC24B
Uniprot: O70125, Affymetrix: 1458875_at, GeneID: SEC24B
Uniprot: Q80ZX0, Affymetrix: 1458875_at, GeneID: SEC24B
Uniprot: Q8BN06, Affymetrix: 1456819_at, GeneID: NRN1L
Uniprot: Q8C4W3, Affymetrix: 1456819_at, GeneID: NRN1L
Uniprot: Q9JJX4, Affymetrix: 1441772_at, GeneID: P2RX4
Uniprot: Q9JJX5, Affymetrix: 1441772_at, GeneID: P2RX4
Uniprot: Q9JJX6, Affymetrix: 1441772_at, GeneID: P2RX4
Uniprot: Q9JJX3, Affymetrix: 1441772_at, GeneID: P2RX4
Uniprot: Q9Z256, Affymetrix: 1441772_at, GeneID: P2RX4
Uniprot: Q9Z257, Affymetrix: 1441772_at, GeneID: P2RX4
Uniprot: Q3UCX4, Affymetrix: 1441772_at, GeneID: P2RX4
