From	To	Species	Gene Name
L1CAM	Q7Z2J0	Homo sapiens	L1 cell adhesion molecule
L1CAM	A0AV65	Homo sapiens	L1 cell adhesion molecule
L1CAM	P32004	Homo sapiens	L1 cell adhesion molecule
L1CAM	Q7Z2H2	Homo sapiens	L1 cell adhesion molecule
L1CAM	Q7Z2J8	Homo sapiens	L1 cell adhesion molecule
L1CAM	Q7Z2J9	Homo sapiens	L1 cell adhesion molecule
L1CAM	Q7Z2I3	Homo sapiens	L1 cell adhesion molecule
L1CAM	Q7Z2J6	Homo sapiens	L1 cell adhesion molecule
L1CAM	Q7Z2F9	Homo sapiens	L1 cell adhesion molecule
L1CAM	Q8TA87	Homo sapiens	L1 cell adhesion molecule
L1CAM	B2RMU7	Homo sapiens	L1 cell adhesion molecule
L1CAM	Q86SE4	Homo sapiens	L1 cell adhesion molecule
L1CAM	A4ZYW4	Homo sapiens	L1 cell adhesion molecule
L1CAM	Q7Z3Z9	Homo sapiens	L1 cell adhesion molecule
L1CAM	A9CB47	Papio anubis	L1 cell adhesion molecule
SLC35A2	Q58DA6	Bos taurus	solute carrier family 35 (UDP-galactose transporter), member A2
SLC35A2	Q8SPM1	Bos taurus	solute carrier family 35 (UDP-galactose transporter), member A2
SLC35A2	Q0V8N0	Bos taurus	solute carrier family 35 (UDP-galactose transporter), member A2
SLC35A2	Q8IV21	Homo sapiens	solute carrier family 35 (UDP-galactose transporter), member A2
SLC35A2	A8K9V1	Homo sapiens	solute carrier family 35 (UDP-galactose transporter), member A2
SLC35A2	Q92553	Homo sapiens	solute carrier family 35 (UDP-galactose transporter), member A2
SLC35A2	Q8NBD6	Homo sapiens	solute carrier family 35 (UDP-galactose transporter), member A2
SLC35A2	Q6ICV6	Homo sapiens	solute carrier family 35 (UDP-galactose transporter), member A2
SLC35A2	P78381	Homo sapiens	solute carrier family 35 (UDP-galactose transporter), member A2
SLC35A2	Q9JIH0	Mus musculus	solute carrier family 35 (UDP-galactose transporter), member A2
SLC35A2	Q3U1S3	Mus musculus	solute carrier family 35 (UDP-galactose transporter), member A2
SLC35A2	A2AER4	Mus musculus	solute carrier family 35 (UDP-galactose transporter), member A2
SLC35A2	A2AER3	Mus musculus	solute carrier family 35 (UDP-galactose transporter), member A2
SLC35A2	Q3UIP1	Mus musculus	solute carrier family 35 (UDP-galactose transporter), member A2
SLC35A2	Q9R0M8	Mus musculus	solute carrier family 35 (UDP-galactose transporter), member A2
SLC35A2	Q3U1T6	Mus musculus	solute carrier family 35 (UDP-galactose transporter), member A2
SLC35A2	Q8WMS0	Canis lupus	solute carrier family 35 (UDP-galactose transporter), member A2
SLC35A2	Q8JFW8	Danio rerio	solute carrier family 35 (UDP-galactose transporter), member 2; similar to SI:bZ30I22.3 (novel protein similar to vertebrate UDP-galactose transporters)
SLC35A2	B0UYD3	Danio rerio	solute carrier family 35 (UDP-galactose transporter), member 2; similar to SI:bZ30I22.3 (novel protein similar to vertebrate UDP-galactose transporters)
SLC35A2	B2RYK5	Rattus norvegicus	solute carrier family 35, member A2
FAM124B	Q8BLQ0	Mus musculus	family with sequence similarity 124, member B
FAM124B	A6NNC7	Homo sapiens	family with sequence similarity 124B
FAM124B	Q8TAV7	Homo sapiens	family with sequence similarity 124B
FAM124B	Q9H5Z6	Homo sapiens	family with sequence similarity 124B
FAM124B	Q8NBZ4	Homo sapiens	family with sequence similarity 124B
FAM124B	Q66IK8	Xenopus (Silurana) tropicalis	MGC89321 protein
FAM124B	A6QLD5	Bos taurus	Protein FAM124B
TMEM140	Q8VDY2	Mus musculus	transmembrane protein 140
TMEM140	Q8BGY5	Mus musculus	transmembrane protein 140
TMEM140	A6QQJ2	Bos taurus	transmembrane protein 140
TMEM140	Q5M826	Rattus norvegicus	transmembrane protein 140
TMEM140	Q9NV12	Homo sapiens	transmembrane protein 140
TMEM140	Q8WUC3	Homo sapiens	transmembrane protein 140
TMEM140	Q96FW3	Homo sapiens	transmembrane protein 140
TMEM140	A4D1P9	Homo sapiens	transmembrane protein 140
CTTNBP2	Q2IBD4	Rattus norvegicus	cortactin binding protein 2
CTTNBP2	Q09YI1	Ovis aries	cortactin binding protein 2
CTTNBP2	Q2QLA2	Equus caballus	cortactin binding protein 2
CTTNBP2	Q07DZ5	Ornithorhynchus anatinus	cortactin binding protein 2
CTTNBP2	A0M8T5	Felis catus	cortactin binding protein 2
CTTNBP2	Q9JKQ5	Mus musculus	cortactin binding protein 2
CTTNBP2	Q69ZB2	Mus musculus	cortactin binding protein 2
CTTNBP2	Q8BVG1	Mus musculus	cortactin binding protein 2
CTTNBP2	Q8C044	Mus musculus	cortactin binding protein 2
CTTNBP2	A0M8U5	Gallus gallus	cortactin binding protein 2
CTTNBP2	Q20BG9	Homo sapiens	cortactin binding protein 2
CTTNBP2	Q8WZ74	Homo sapiens	cortactin binding protein 2
CTTNBP2	O43389	Homo sapiens	cortactin binding protein 2
CTTNBP2	Q9C0A5	Homo sapiens	cortactin binding protein 2
CTTNBP2	Q20BI7	Homo sapiens	cortactin binding protein 2
CTTNBP2	Q20BG7	Homo sapiens	cortactin binding protein 2
CTTNBP2	Q8N8L8	Homo sapiens	cortactin binding protein 2
CTTNBP2	Q2I096	Homo sapiens	cortactin binding protein 2
CTTNBP2	Q2I0A6	Homo sapiens	cortactin binding protein 2
CTTNBP2	Q7LG11	Homo sapiens	cortactin binding protein 2
CTTNBP2	Q2IBE6	Pongo abelii	cortactin binding protein 2
CTTNBP2	A0M8S4	Papio anubis	cortactin binding protein 2
CTTNBP2	Q09YM8	Oryctolagus cuniculus	cortactin binding protein 2
SIN3A	A1Z927	Drosophila melanogaster	Dmel_CG8815
SIN3A	A1Z928	Drosophila melanogaster	Dmel_CG8815
SIN3A	Q5U0Y0	Drosophila melanogaster	Dmel_CG8815
SIN3A	Q96L98	Homo sapiens	SIN3 homolog A, transcription regulator (yeast)
SIN3A	B2RNS5	Homo sapiens	SIN3 homolog A, transcription regulator (yeast)
SIN3A	Q96ST3	Homo sapiens	SIN3 homolog A, transcription regulator (yeast)
SIN3A	Q8NC83	Homo sapiens	SIN3 homolog A, transcription regulator (yeast)
SIN3A	Q8N8N4	Homo sapiens	SIN3 homolog A, transcription regulator (yeast)
SIN3A	Q9UFQ1	Homo sapiens	SIN3 homolog A, transcription regulator (yeast)
SIN3A	Q8WV18	Homo sapiens	SIN3 homolog A, transcription regulator (yeast)
SIN3A	Q7TSZ2	Mus musculus	transcriptional regulator, SIN3A (yeast)
SIN3A	Q7TPU8	Mus musculus	transcriptional regulator, SIN3A (yeast)
SIN3A	Q60520	Mus musculus	transcriptional regulator, SIN3A (yeast)
SIN3A	Q3UVS7	Mus musculus	transcriptional regulator, SIN3A (yeast)
SIN3A	Q570Z7	Mus musculus	transcriptional regulator, SIN3A (yeast)
SIN3A	Q62139	Mus musculus	transcriptional regulator, SIN3A (yeast)
SIN3A	Q62140	Mus musculus	transcriptional regulator, SIN3A (yeast)
SIN3A	Q60820	Mus musculus	transcriptional regulator, SIN3A (yeast)
SIN3A	Q9W6S7	Xenopus laevis	transcription co-repressor Sin3
EIF1AX	B9VH02	Ovis aries	eukaryotic translation initiation factor 1A, X-linked
EIF1AX	Q6NU16	Xenopus laevis	MGC81905 protein
EIF1AX	Q5RA42	Pongo abelii	eukaryotic translation initiation factor 1A, X-linked
EIF1AX	Q32LC3	Bos taurus	similar to Eukaryotic translation initiation factor 1A, X-chromosomal (eIF-1A X isoform) (eIF-4C); eukaryotic translation initiation factor 1A, X-linked
EIF1AX	Q56JW9	Bos taurus	similar to Eukaryotic translation initiation factor 1A, X-chromosomal (eIF-1A X isoform) (eIF-4C); eukaryotic translation initiation factor 1A, X-linked
EIF1AX	P47813	Homo sapiens	eukaryotic translation initiation factor 1A, X-linked
EIF1AX	B2R5U5	Homo sapiens	eukaryotic translation initiation factor 1A, X-linked
EIF1AX	Q5JPS5	Homo sapiens	eukaryotic translation initiation factor 1A, X-linked
EIF1AX	Q5JPS6	Homo sapiens	eukaryotic translation initiation factor 1A, X-linked
EIF1AX	Q0VGC2	Homo sapiens	eukaryotic translation initiation factor 1A, X-linked
OASL1	Q3UBP8	Mus musculus	2'-5' oligoadenylate synthetase-like 1
OASL1	Q8K2A2	Mus musculus	2'-5' oligoadenylate synthetase-like 1
OASL1	Q8VI94	Mus musculus	2'-5' oligoadenylate synthetase-like 1
OASL1	Q8QZV5	Mus musculus	2'-5' oligoadenylate synthetase-like 1
LPCAT2B	Q9D5U0	Mus musculus	acyltransferase like 1B
LPCAT2B	B2RT16	Mus musculus	acyltransferase like 1B
PSENEN	Q8JHF0	Danio rerio	hypothetical protein LOC100151103; presenilin enhancer 2 homolog
PSENEN	Q568W9	Danio rerio	hypothetical protein LOC100151103; presenilin enhancer 2 homolog
PSENEN	B2R5L9	Homo sapiens	presenilin enhancer 2 homolog (C. elegans)
PSENEN	Q9NZ42	Homo sapiens	presenilin enhancer 2 homolog (C. elegans)
PSENEN	C4WXL8	Acyrthosiphon pisum	similar to presenilin enhancer 2 homolog
PSENEN	Q640D2	Xenopus laevis	hypothetical LOC494701
PSENEN	Q6QI68	Rattus norvegicus	presenilin enhancer 2 homolog (C. elegans)
PSENEN	Q9CQR7	Mus musculus	predicted gene 12396; presenilin enhancer 2 homolog (C. elegans)
PSENEN	Q28GF7	Xenopus (Silurana) tropicalis	presenilin enhancer 2 homolog
PSENEN	Q5PXY8	Bos taurus	presenilin enhancer 2 homolog (C. elegans)
PSENEN	Q5G235	Bos taurus	presenilin enhancer 2 homolog (C. elegans)
VNN3	Q9QZ25	Mus musculus	vanin 3
VNN3	Q2T9H5	Mus musculus	vanin 3
VNN3	Q9NY84	Homo sapiens	vanin 3
VNN3	Q9BQY2	Homo sapiens	vanin 3
VNN3	Q3SX90	Homo sapiens	vanin 3
VNN3	B2DFY7	Homo sapiens	vanin 3
VNN3	B2DFY8	Homo sapiens	vanin 3
VNN3	B2DFY6	Homo sapiens	vanin 3
VNN3	B2DFY5	Homo sapiens	vanin 3
VNN3	B2DFY3	Homo sapiens	vanin 3
VNN3	B2DFY1	Homo sapiens	vanin 3
VNN3	B2DFY0	Homo sapiens	vanin 3
SH3GL3	Q9JKT0	Rattus norvegicus	SH3-domain GRB2-like 3
SH3GL3	Q6TGT7	Danio rerio	SH3-domain GRB2-like 3
SH3GL3	Q7ZVM8	Danio rerio	SH3-domain GRB2-like 3
SH3GL3	Q8R0B7	Mus musculus	SH3-domain GRB2-like 3
SH3GL3	Q497N4	Mus musculus	SH3-domain GRB2-like 3
SH3GL3	Q62421	Mus musculus	SH3-domain GRB2-like 3
SH3GL3	Q9CZV7	Mus musculus	SH3-domain GRB2-like 3
SH3GL3	Q8AXU9	Gallus gallus	SH3-domain GRB2-like 3
SH3GL3	Q9UMB8	Homo sapiens	SH3-domain GRB2-like 3
SH3GL3	Q8IVP1	Homo sapiens	SH3-domain GRB2-like 3
SH3GL3	Q99963	Homo sapiens	SH3-domain GRB2-like 3
SH3GL3	O43553	Homo sapiens	SH3-domain GRB2-like 3
SH3GL3	O43554	Homo sapiens	SH3-domain GRB2-like 3
SH3GL3	Q5U589	Xenopus laevis	hypothetical LOC495333
RPUSD2	Q92939	Homo sapiens	RNA pseudouridylate synthase domain containing 2
RPUSD2	Q96N50	Homo sapiens	RNA pseudouridylate synthase domain containing 2
RPUSD2	Q7L989	Homo sapiens	RNA pseudouridylate synthase domain containing 2
RPUSD2	Q8IZ73	Homo sapiens	RNA pseudouridylate synthase domain containing 2
RPUSD2	Q96IA7	Homo sapiens	RNA pseudouridylate synthase domain containing 2
RPUSD2	Q8BXL2	Mus musculus	RNA pseudouridylate synthase domain containing 2
RPUSD2	Q8BY63	Mus musculus	RNA pseudouridylate synthase domain containing 2
RPUSD2	Q149F1	Mus musculus	RNA pseudouridylate synthase domain containing 2
ADAMTS20	Q0V926	Mus musculus	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 20
ADAMTS20	Q3UQW9	Mus musculus	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 20
ADAMTS20	Q3ULV2	Mus musculus	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 20
ADAMTS20	P59511	Mus musculus	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 20
ADAMTS20	A6NNC9	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif, 20
ADAMTS20	Q9H8X0	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif, 20
ADAMTS20	P59510	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif, 20
MATN1	A5WWJ5	Danio rerio	matrilin 1
MATN1	A5WWJ4	Danio rerio	matrilin 1
MATN1	Q5NJK2	Danio rerio	matrilin 1
MATN1	Q5NJL4	Danio rerio	matrilin 1
MATN1	Q7ZVP3	Danio rerio	matrilin 1
MATN1	Q7SYT5	Xenopus laevis	hypothetical protein MGC64509
MATN1	P51942	Mus musculus	matrilin 1, cartilage matrix protein
MATN1	Q80VN5	Mus musculus	matrilin 1, cartilage matrix protein
MATN1	P21941	Homo sapiens	matrilin 1, cartilage matrix protein
MATN1	Q5TBB9	Homo sapiens	matrilin 1, cartilage matrix protein
MATN1	B2R7E3	Homo sapiens	matrilin 1, cartilage matrix protein
MATN1	Q8WVV1	Homo sapiens	matrilin 1, cartilage matrix protein
MATN1	Q5XI24	Rattus norvegicus	matrilin 1, cartilage matrix protein
MATN1	Q5BKH6	Xenopus (Silurana) tropicalis	MGC108367 protein
MATN1	P05099	Gallus gallus	matrilin 1, cartilage matrix protein
MYLK2	P07313	Oryctolagus cuniculus	myosin light chain kinase 2
MYLK2	P20689	Rattus norvegicus	myosin light chain kinase 2
MYLK2	A8C986	Danio rerio	myosin light chain kinase 2; myosin light chain kinase 2-like
MYLK2	A4IFM7	Bos taurus	myosin light chain kinase 2
MYLK2	A2APB9	Mus musculus	myosin, light polypeptide kinase 2, skeletal muscle
MYLK2	B2RXZ9	Mus musculus	myosin, light polypeptide kinase 2, skeletal muscle
MYLK2	Q8VCR8	Mus musculus	myosin, light polypeptide kinase 2, skeletal muscle
MYLK2	Q569L1	Homo sapiens	myosin light chain kinase 2
MYLK2	Q96I84	Homo sapiens	myosin light chain kinase 2
MYLK2	Q9H1R3	Homo sapiens	myosin light chain kinase 2
SPIRE2	B2RYF2	Rattus norvegicus	spire homolog 2 (Drosophila)
SPIRE2	Q8K1S6	Mus musculus	spire homolog 2 (Drosophila)
SPIRE2	Q8R0R2	Mus musculus	spire homolog 2 (Drosophila)
SPIRE2	Q96JJ5	Homo sapiens	spire homolog 2 (Drosophila)
SPIRE2	Q8ND47	Homo sapiens	spire homolog 2 (Drosophila)
SPIRE2	A4QPB1	Homo sapiens	spire homolog 2 (Drosophila)
SPIRE2	Q6P433	Homo sapiens	spire homolog 2 (Drosophila)
SPIRE2	Q2TA98	Homo sapiens	spire homolog 2 (Drosophila)
SPIRE2	Q8WWL2	Homo sapiens	spire homolog 2 (Drosophila)
MIIP	Q8VD71	Mus musculus	migration and invasion inhibitory protein
MIIP	Q3UZ92	Mus musculus	migration and invasion inhibitory protein
MIIP	A2A7Y5	Mus musculus	migration and invasion inhibitory protein
MIIP	C0KL25	Mus musculus	migration and invasion inhibitory protein
MIIP	Q8CFZ8	Mus musculus	migration and invasion inhibitory protein
MIIP	Q6AYH0	Rattus norvegicus	migration and invasion inhibitory protein
MIIP	Q9H839	Homo sapiens	migration and invasion inhibitory protein
MIIP	Q96HU6	Homo sapiens	migration and invasion inhibitory protein
MIIP	Q9HA00	Homo sapiens	migration and invasion inhibitory protein
MIIP	C0KL22	Homo sapiens	migration and invasion inhibitory protein
MIIP	Q5JXC2	Homo sapiens	migration and invasion inhibitory protein
MIIP	C0KL23	Pan troglodytes	migration and invasion inhibitory protein
RIC8B	Q80ZG0	Rattus norvegicus	resistance to inhibitors of cholinesterase 8 homolog B (C. elegans)
RIC8B	Q9NVN3	Homo sapiens	resistance to inhibitors of cholinesterase 8 homolog B (C. elegans)
RIC8B	Q86WD3	Homo sapiens	resistance to inhibitors of cholinesterase 8 homolog B (C. elegans)
RIC8B	Q6ZRN4	Homo sapiens	resistance to inhibitors of cholinesterase 8 homolog B (C. elegans)
RIC8B	Q4G103	Homo sapiens	resistance to inhibitors of cholinesterase 8 homolog B (C. elegans)
RIC8B	A2RTZ0	Homo sapiens	resistance to inhibitors of cholinesterase 8 homolog B (C. elegans)
RIC8B	Q80XE1	Mus musculus	resistance to inhibitors of cholinesterase 8 homolog B (C. elegans)
RIC8B	Q58L65	Mus musculus	resistance to inhibitors of cholinesterase 8 homolog B (C. elegans)
RIC8B	Q1JQ20	Danio rerio	synembryn-like
RIC8B	A4QP39	Danio rerio	synembryn-like
RIC8B	Q501X4	Danio rerio	synembryn-like
RIC8B	Q6DRJ9	Danio rerio	synembryn-like
RIC8B	Q1LWD2	Danio rerio	synembryn-like
TMEM26	B0K001	Xenopus (Silurana) tropicalis	hypothetical protein LOC100145269
TMEM26	Q149T3	Mus musculus	transmembrane protein 26
TMEM26	Q8BN94	Mus musculus	transmembrane protein 26
TMEM26	Q149T4	Mus musculus	transmembrane protein 26
TMEM26	Q3UP23	Mus musculus	transmembrane protein 26
TMEM26	Q6ZVM0	Homo sapiens	transmembrane protein 26
TMEM26	Q8IVN9	Homo sapiens	transmembrane protein 26
TMEM26	Q6ZUK4	Homo sapiens	transmembrane protein 26
TMEM26	Q68F09	Xenopus laevis	MGC83020 protein
MRM1	Q5ND22	Mus musculus	mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae)
MRM1	Q8C218	Mus musculus	mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae)
MRM1	Q99J25	Mus musculus	mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae)
MRM1	Q3TPX8	Mus musculus	mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae)
MRM1	Q3U0Z5	Mus musculus	mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae)
MRM1	A7MBD2	Bos taurus	mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae)
MRM1	P25270	Saccharomyces cerevisiae	rRNA methyltransferase, mitochondrial
MRM1	Q96GK2	Homo sapiens	mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae)
MRM1	A8K8E2	Homo sapiens	mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae)
MRM1	Q6IN84	Homo sapiens	mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae)
MRM1	Q9H664	Homo sapiens	mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae)
TANK	A1L1J0	Rattus norvegicus	TRAF family member-associated NFKB activator
TANK	Q5HZX1	Rattus norvegicus	TRAF family member-associated NFKB activator
TANK	Q8VDA2	Rattus norvegicus	TRAF family member-associated NFKB activator
TANK	Q7Z4J6	Homo sapiens	TRAF family member-associated NFKB activator
TANK	Q92885	Homo sapiens	TRAF family member-associated NFKB activator
TANK	Q92844	Homo sapiens	TRAF family member-associated NFKB activator
TANK	Q53TI5	Homo sapiens	TRAF family member-associated NFKB activator
TANK	Q6NW12	Homo sapiens	TRAF family member-associated NFKB activator
TANK	Q4ZG76	Homo sapiens	TRAF family member-associated NFKB activator
TANK	Q0VD25	Bos taurus	TRAF family member-associated NFKB activator
TANK	Q4JQQ1	Xenopus laevis	TRAF family member-associated NF-kappaB activator
TANK	Q05BS9	Mus musculus	TRAF family member-associated Nf-kappa B activator
TANK	P70347	Mus musculus	TRAF family member-associated Nf-kappa B activator
TANK	Q61178	Mus musculus	TRAF family member-associated Nf-kappa B activator
TANK	Q8C2D3	Mus musculus	TRAF family member-associated Nf-kappa B activator
TANK	Q3UGW0	Mus musculus	TRAF family member-associated Nf-kappa B activator
TANK	Q3TNB4	Mus musculus	TRAF family member-associated Nf-kappa B activator
TANK	A2AR78	Mus musculus	TRAF family member-associated Nf-kappa B activator
TANK	Q8R383	Mus musculus	TRAF family member-associated Nf-kappa B activator
TANK	A2AR76	Mus musculus	TRAF family member-associated Nf-kappa B activator
TMEM27	Q6P0S0	Danio rerio	transmembrane protein 27
TMEM27	Q1JPS7	Danio rerio	transmembrane protein 27
TMEM27	Q6PE94	Xenopus laevis	hypothetical protein MGC68634
TMEM27	Q0VCT4	Bos taurus	transmembrane protein 27; similar to transmembrane protein 27
TMEM27	Q6AYY2	Rattus norvegicus	transmembrane protein 27
TMEM27	Q9ESG3	Rattus norvegicus	transmembrane protein 27
TMEM27	Q4KXL3	Rattus norvegicus	transmembrane protein 27
TMEM27	Q6UW07	Homo sapiens	transmembrane protein 27
TMEM27	Q9HBJ8	Homo sapiens	transmembrane protein 27
TMEM27	B2R9M1	Homo sapiens	transmembrane protein 27
TMEM27	Q3UFF6	Mus musculus	transmembrane protein 27
TMEM27	Q9ESG4	Mus musculus	transmembrane protein 27
TMEM27	A2AHZ4	Mus musculus	transmembrane protein 27
TMEM27	A2AHZ5	Mus musculus	transmembrane protein 27
WDR92	Q5F3H5	Gallus gallus	WD repeat domain 92
WDR92	Q96LM8	Homo sapiens	WD repeat domain 92
WDR92	Q6QHF3	Homo sapiens	WD repeat domain 92
WDR92	Q8ND98	Homo sapiens	WD repeat domain 92
WDR92	Q96CR6	Homo sapiens	WD repeat domain 92
WDR92	Q96MX6	Homo sapiens	WD repeat domain 92
WDR92	Q86YQ0	Homo sapiens	WD repeat domain 92
WDR92	Q5M7F6	Xenopus laevis	hypothetical LOC496212
WDR92	Q29RZ9	Bos taurus	WD repeat domain 92
WDR92	Q80VY1	Mus musculus	WD repeat domain 92
WDR92	Q8BKZ6	Mus musculus	WD repeat domain 92
WDR92	Q8BGF3	Mus musculus	WD repeat domain 92
WDR92	Q561Y0	Danio rerio	WD repeat domain 92
WDR92	A4QNE6	Xenopus (Silurana) tropicalis	hypothetical protein LOC100125149
ST13	Q5ZLF0	Gallus gallus	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
ST13	Q6DIN1	Xenopus (Silurana) tropicalis	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
ST13	P50503	Rattus norvegicus	similar to suppression of tumorigenicity 13; suppression of tumorigenicity 13
ST13	Q6DEC8	Xenopus laevis	MGC78939 protein
ST13	Q1XBU7	Homo sapiens	similar to heat shock 70kD protein binding protein; suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
ST13	O14999	Homo sapiens	similar to heat shock 70kD protein binding protein; suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
ST13	Q2TU77	Homo sapiens	similar to heat shock 70kD protein binding protein; suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
ST13	Q1XBU6	Homo sapiens	similar to heat shock 70kD protein binding protein; suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
ST13	P50502	Homo sapiens	similar to heat shock 70kD protein binding protein; suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
ST13	Q9P1I4	Homo sapiens	similar to heat shock 70kD protein binding protein; suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
ST13	Q3KNR6	Homo sapiens	similar to heat shock 70kD protein binding protein; suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
ST13	Q0IJ56	Homo sapiens	similar to heat shock 70kD protein binding protein; suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
ST13	Q6NX98	Danio rerio	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
ST13	Q5RF31	Pongo abelii	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
ST13	Q3U8D2	Mus musculus	suppression of tumorigenicity 13
ST13	Q4FJT4	Mus musculus	suppression of tumorigenicity 13
ST13	Q3U9V1	Mus musculus	suppression of tumorigenicity 13
ST13	Q3U3N7	Mus musculus	suppression of tumorigenicity 13
ST13	Q3TGW8	Mus musculus	suppression of tumorigenicity 13
ST13	Q99L47	Mus musculus	suppression of tumorigenicity 13
ST13	A7E3S8	Bos taurus	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
